LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2004,0.646321976,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2005,0.684149828,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2006,0.691179876,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2007,0.748164148,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2008,0.758368014,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2009,0.805204227,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2010,0.690424372,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2011,0.575799106,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2012,0.571299149,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2013,0.560241262,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2014,0.584116971,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2015,0.555884692,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2016,0.542065512,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2017,0.560013242,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2018,0.611729193,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2019,0.623297841,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2020,0.677748088,
AUS,GGEXP,Housing and Community Amenities,PC_GDP,A,2021,0.680192858,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2001,0.937523974,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2002,0.932609438,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2003,0.963386675,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2004,0.919749256,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2005,0.942933455,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2006,0.929444888,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2007,0.930837644,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2008,0.934223765,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2009,1.004971561,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2010,0.964746972,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2011,0.943089344,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2012,0.911488333,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2013,0.901603093,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2014,0.900446928,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2015,0.946705294,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2016,0.909241836,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2017,0.98228895,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2018,0.944255484,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2019,0.976068859,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2020,0.974851701,
AUS,GGEXP,"Recreation, Culture, and Religion",PC_GDP,A,2021,0.922240349,
AUS,GGEXP,Social Protection,PC_GDP,A,2001,10.37096215,
AUS,GGEXP,Social Protection,PC_GDP,A,2002,10.03670141,
AUS,GGEXP,Social Protection,PC_GDP,A,2003,10.39056529,
AUS,GGEXP,Social Protection,PC_GDP,A,2004,10.12156648,
AUS,GGEXP,Social Protection,PC_GDP,A,2005,9.818060594,
AUS,GGEXP,Social Protection,PC_GDP,A,2006,9.68984199,
AUS,GGEXP,Social Protection,PC_GDP,A,2007,9.5059759,
AUS,GGEXP,Social Protection,PC_GDP,A,2008,11.2378009,
AUS,GGEXP,Social Protection,PC_GDP,A,2009,9.905008907,
AUS,GGEXP,Social Protection,PC_GDP,A,2010,9.606296659,
AUS,GGEXP,Social Protection,PC_GDP,A,2011,9.792650996,
AUS,GGEXP,Social Protection,PC_GDP,A,2012,9.923540415,
AUS,GGEXP,Social Protection,PC_GDP,A,2013,10.12187562,
AUS,GGEXP,Social Protection,PC_GDP,A,2014,10.48570663,
AUS,GGEXP,Social Protection,PC_GDP,A,2015,10.55541411,
AUS,GGEXP,Social Protection,PC_GDP,A,2016,10.06090419,
AUS,GGEXP,Social Protection,PC_GDP,A,2017,9.811764131,
AUS,GGEXP,Social Protection,PC_GDP,A,2018,9.794293987,
AUS,GGEXP,Social Protection,PC_GDP,A,2019,11.03153317,
AUS,GGEXP,Social Protection,PC_GDP,A,2020,11.78738514,
AUS,GGEXP,Social Protection,PC_GDP,A,2021,10.75957179,
